SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,Unnamed: 7
RILINFRA.NS,Rachana Infrastructure Limited,ST,10-Jun-22,10,INE02OY01016,10,
FIDEL.NS,Fidel Softech Limited,SM,10-Jun-22,10,INE0LQQ01019,10,
GSTL.NS,Globesecure Technologies Limited,SM,02-Jun-22,10,INE00WS01056,10,
SONUINFRA.NS,Sonu Infratech Limited,ST,13-May-22,10,INE0JZA01018,10,
LEMERITE.NS,Le Merite Exports Limited,ST,09-May-22,10,INE0G1L01017,10,
JSLL.NS,Jeena Sikho Lifecare Limited,SM,19-Apr-22,10,INE0J5801011,10,
KRISHNADEF.NS,Krishna Defence and Allied Industries Limited,ST,06-Apr-22,10,INE0J5601015,10,
PROPEQUITY.NS,P. E. Analytics Limited,SM,04-Apr-22,10,INE0KN801013,10,
KRISHIVAL.NS,Krishival Foods Limited,SM,31-Mar-22,10,INE0GGO01015,10,
SWARAJ.NS,Swaraj Suiting Limited,ST,28-Mar-22,10,INE0GMR01016,10,
KNAGRI.NS,KN Agri Resources Limited,ST,28-Mar-22,10,INE0KNW01016,10,
COOLCAPS.NS,Cool Caps Industries Limited,ST,24-Mar-22,10,INE0HS001010,10,
SPRL.NS,Sp Refractories Limited,ST,22-Mar-22,10,INE0JW501011,10,
SHIGAN.NS,Shigan Quantum Technologies Limited,SM,11-Mar-22,10,INE03KJ01013,10,
MADHAVBAUG.NS,Vaidya Sane Ayurved Laboratories Limited,SM,23-Feb-22,10,INE0JR301013,10,
RICHA.NS,Richa Info Systems Limited,SM,21-Feb-22,10,INE0J1P01015,10,
PRECISION.NS,Precision Metaliks Limited,ST,01-Feb-22,10,INE0HKW01018,10,
TIMESCAN.NS,Timescan Logistics (India) Limited,SM,12-Jan-22,10,INE0IJY01014,10,
ABCOTS.NS,A B Cotspin India Limited,ST,11-Jan-22,10,INE08PH01015,10,
VIVO.NS,Vivo Collaboration Solutions Limited,SM,31-Dec-21,10,INE0IA701014,10,
FOCE.NS,Foce India Limited,ST,28-Dec-21,10,INE0I7D01019,10,
