Security Code,Issuer Name,SYMBOL,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
532944.BO.BO.BO,OnMobile Global Ltd.,ONMOBILE.BO,OnMobile Global Ltd.,Active,B ,10.0,INE809I01019,Web based media and service,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Media,Web based media and service
532945.BO.BO.BO,SEPC LIMITED,SEPC.BO,SEPC Ltd,Active,A ,10.0,INE964H01014,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
532946.BO.BO.BO,Bang Overseas Ltd,BANG.BO,BANG OVERSEAS LTD.,Active,T ,10.0,INE863I01016,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
532947.BO.BO.BO,IRB Infrastructure Developers Limited,IRB.BO,IRB INFRASTRUCTURE DEVELOPERS LTD.,Active,A ,1.0,INE821I01022,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
532951.BO.BO.BO,GSS Infotech Ltd,GSS.BO,GSS INFOTECH LTD.,Active,B ,10.0,INE871H01011,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services
532952.BO.BO.BO,Nahar Capital & Financial Services Ltd.,NAHARCAP.BO,NAHAR CAPITAL & FINANCIAL SERVICES LTD.,Active,B ,5.0,INE049I01012,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
532953.BO.BO.BO,V-Guard Industries Ltd.,VGUARD.BO,V-GUARD INDUSTRIES LTD.,Active,A ,1.0,INE951I01027,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
532955.BO.BO.BO,REC LIMITED,RECLTD.BO,REC Ltd,Active,A ,10.0,INE020B01018,Financial Institution,Equity,Financial Services,Financial Services,Finance,Financial Institution
532957.BO.BO.BO,GOKAK TEXTILES LTD.,GOKAKTEX.BO,GOKAK TEXTILES LTD.,Active,X ,10.0,INE642I01014,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
532960.BO.BO.BO,Dhani Services Limited,DHANI.BO,Dhani Services Ltd,Active,A ,2.0,INE274G01010,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
532966.BO.BO.BO,TITAGARH RAIL SYSTEMS LIMITED,TITAGARH.BO,Titagarh Rail Systems Ltd,Active,A ,2.0,INE615H01020,Railway Wagons,Equity,Industrials,Capital Goods,Industrial Manufacturing,Railway Wagons
532967.BO.BO.BO,KIRI INDUSTRIES LIMITED,KIRIINDUS.BO,KIRI INDUSTRIES LTD.,Active,B ,10.0,INE415I01015,Dyes And Pigments,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
532974.BO.BO.BO,Aditya Birla  Money Ltd,BIRLAMONEY.BO,ADITYA BIRLA MONEY LTD.-$,Active,T ,1.0,INE865C01022,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
532975.BO.BO.BO,TELOGICA LIMITED,TELOGICA.BO,Telogica Ltd,Active,Z ,5.0,INE778I01024,Telecom -  Equipment & Accessories,Equity,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
532976.BO.BO.BO,Jai Balaji Industries Limited,JAIBALAJI.BO,JAI BALAJI INDUSTRIES LTD.,Active,B ,10.0,INE091G01018,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
532977.BO.BO.BO,Bajaj Auto Limited,BAJAJ-AUTO.BO,BAJAJ AUTO LTD.,Active,A ,10.0,INE917I01010,2/3 Wheelers,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
532978.BO.BO.BO,Bajaj Finserv Limited,BAJAJFINSV.BO,BAJAJ FINSERV LTD.,Active,A ,1.0,INE918I01026,Holding Company,Equity,Financial Services,Financial Services,Finance,Holding Company
532980.BO.BO.BO,Gokul Refoils and Solvent Limited,GOKUL.BO,GOKUL REFOILS & SOLVENT LTD.,Active,T ,2.0,INE020J01029,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
532983.BO.BO.BO,RPG Life Sciences Limited,RPGLIFE.BO,RPG LIFE SCIENCES LTD.,Active,B ,8.0,INE105J01010,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
532985.BO.BO.BO,Kotak Mahindra Mutual Fund,SENSEX1.BO,Kotak S&P BSE Sensex ETF,Active,A ,1.0,INF174KA1JD7,Mutual Fund Scheme - ETF,Equity,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme - ETF
532986.BO.BO.BO,Niraj Cement Structurals Limited,NIRAJ.BO,NIRAJ CEMENT STRUCTURALS LTD.,Active,T ,10.0,INE368I01016,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
532987.BO.BO.BO,Rane Brake Lining Limited,RBL.BO,RANE BRAKE LINING LTD.,Active,B ,10.0,INE244J01017,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
532988.BO.BO.BO,Rane Engine Valve Limited,RANEENGINE.BO,RANE ENGINE VALVE LTD.,Active,B ,10.0,INE222J01013,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
532989.BO.BO.BO,Bafna Pharmaceuticals Limited,BAFNAPH.BO,BAFNA PHARMACEUTICALS LTD.,Active,T ,10.0,INE878I01022,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
532992.BO.BO.BO,CHL Limited,CHLLTD.BO,CHL LTD.,Active,XT,2.0,INE790D01020,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
532993.BO.BO.BO,SEJAL GLASS LIMITED,SEJALLTD.BO,Sejal Glass Ltd,Active,T ,10.0,INE955I01044,Glass - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Glass - Industrial
532994.BO.BO.BO,Archidply Industries Limited,ARCHIDPLY.BO,ARCHIDPLY INDUSTRIES LTD.,Active,B ,10.0,INE877I01016,Plywood Boards/ Laminates,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
532998.BO.BO.BO,Lotus Eye Hospital And Institute Limited,LOTUSEYE.BO,Lotus Eye Hospital And Institute Ltd,Active,T ,10.0,INE947I01017,Hospital,Equity,Healthcare,Healthcare,Healthcare Services,Hospital
533001.BO.BO.BO,SOMI CONVEYOR BELTINGS LIMITED,SOMICONVEY.BO,SOMI CONVEYOR BELTINGS LTD.,Active,B ,10.0,INE323J01019,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
533007.BO.BO.BO,LGB Forge Limited,LGBFORGE.BO,LGB FORGE LTD.,Active,XT,1.0,INE201J01017,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
533012.BO.BO.BO,Landmark Property Development Company Ltd.,LPDC.BO,LANDMARK PROPERTY DEVELOPMENT COMPANY LTD.,Active,T ,1.0,INE197J01017,Real Estate related services,Equity,Consumer Discretionary,Realty,Realty,Real Estate related services
533014.BO.BO.BO,Sicagen India Limited,SICAGEN.BO,SICAGEN INDIA LTD.,Active,X ,10.0,INE176J01011,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
533018.BO.BO.BO,SIMPLEX MILLS COMPANY LIMITED,SIMPLXMIL.BO,SIMPLEX MILLS COMPANY LTD.,Active,XT,1000.0,INE457H01027,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
533019.BO.BO.BO,SIMPLEX PAPERS LTD.,SIMPLXPAP.BO,SIMPLEX PAPERS LTD.,Active,XT,1000.0,INE456H01029,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
533022.BO.BO.BO,20 Microns Limited,20MICRONS.BO,20 MICRONS LTD.,Active,T ,5.0,INE144J01027,Industrial Minerals,Equity,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
533023.BO.BO.BO,ZF Commercial Vehicle Control Systems India Limited,ZFCVINDIA.BO,ZF Commercial Vehicle Control Systems India Ltd,Active,A ,5.0,INE342J01019,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
533029.BO.BO.BO,Alkali Metals Limited,ALKALI.BO,ALKALI METALS LTD.,Active,B ,10.0,INE773I01017,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
533033.BO.BO.BO,ISGEC Heavy Engineering Limited,ISGEC.BO,ISGEC Heavy Engineering Ltd,Active,A ,1.0,INE858B01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
533047.BO.BO.BO,Indian Metals & Ferro Alloys Limited,IMFA.BO,INDIAN METALS & FERRO ALLOYS LTD.,Active,B ,10.0,INE919H01018,Ferro & Silica Manganese,Equity,Commodities,Metals & Mining,Ferrous Metals,Ferro & Silica Manganese
533048.BO.BO.BO,Teamo Productions HQ Limited,TPHQ.BO,Teamo Productions HQ Ltd,Active,T ,1.0,INE065J01024,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
533056.BO.BO.BO,VEDAVAAG Systems Limited,VEDAVAAG.BO,VEDAVAAG SYSTEMS LTD.,Active,X ,10.0,INE359B01010,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services
533080.BO.BO.BO,Mold-Tek Packaging Limited,MOLDTKPAC.BO,Mold-Tek Packaging Limited,Active,B ,5.0,INE893J01029,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging
533088.BO.BO.BO,Mahindra Holidays & Resorts India Limited,MHRIL.BO,MAHINDRA HOLIDAYS & RESORTS INDIA LTD.,Active,A ,10.0,INE998I01010,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
533090.BO.BO.BO,Excel Realty N Infra Limited,EXCEL.BO,Excel Realty N Infra Ltd,Active,T ,1.0,INE688J01023,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
533093.BO.BO.BO,RAJ OIL MILLS LIMITED,ROML.BO,RAJ OIL MILLS LTD.,Active,B ,10.0,INE294G01026,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
533095.BO.BO.BO,Bengal & Assam Company Limited,BENGALASM.BO,BENGAL & ASSAM COMPANY LTD.,Active,B ,10.0,INE083K01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
533096.BO.BO.BO,Adani Power Limited,ADANIPOWER.BO,ADANI POWER LTD.,Active,A ,10.0,INE814H01011,Integrated Power Utilities,Equity,Utilities,Power,Power,Integrated Power Utilities
533098.BO.BO.BO,NHPC Limited,NHPC.BO,NHPC LTD.,Active,A ,10.0,INE848E01016,Power Generation,Equity,Utilities,Power,Power,Power Generation
533100.BO.BO.BO,Premier Energy and Infrastructure  Limited,PEIL.BO,PREMIER ENERGY AND INFRASTRUCTURE LTD.,Active,XT,10.0,INE429K01012, ,Equity,-,-,-,-
533101.BO.BO.BO,Suryaamba Spinning Mills Limited,SURYAAMBA.BO,SURYAAMBA SPINNING MILLS LTD.,Active,X ,10.0,INE360J01011,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
533104.BO.BO.BO,Globus Spirits Limited,GLOBUSSPR.BO,GLOBUS SPIRITS LTD.,Active,A ,10.0,INE615I01010,Breweries & Distilleries,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
533106.BO.BO.BO,Oil India Limited,OIL.BO,OIL INDIA LTD.,Active,A ,10.0,INE274J01014,Oil Exploration & Production,Equity,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production
533108.BO.BO.BO,Bhilwara Technical Textiles Limited,BTTL.BO,BHILWARA TECHNICAL TEXTILES LTD.,Active,X ,1.0,INE274K01012,Trading - Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Trading - Textile Products
