SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
ORIENTHOT.NS,Oriental Hotels Limited,EQ,27-AUG-1998,1,1,INE750A01020,1
ORIENTLTD.NS,Orient Press Limited,BE,03-MAR-2010,10,1,INE609C01024,10
ORIENTPPR.NS,Orient Paper & Industries Limited,EQ,29-MAR-1995,1,1,INE592A01026,1
ORIENTTECH.NS,Orient Technologies Limited,EQ,28-AUG-2024,10,1,INE0PPK01015,10
ORISSAMINE.NS,The Orissa Minerals Development Company Limited,EQ,29-SEP-2010,1,1,INE725E01024,1
ORTINGLOBE.NS,ORTIN GLOBAL LIMITED,EQ,30-MAR-2021,10,1,INE749B01020,10
OSIAHYPER.NS,Osia Hyper Retail Limited,BE,01-DEC-2022,1,1,INE06IR01021,1
OSWALAGRO.NS,Oswal Agro Mills Limited,EQ,29-MAR-1995,10,1,INE142A01012,10
OSWALGREEN.NS,Oswal Greentech Limited,EQ,28-AUG-1996,10,1,INE143A01010,10
OSWALSEEDS.NS,ShreeOswal Seeds And Chemicals Limited,BE,28-FEB-2023,2,1,INE00IK01029,2
PAGEIND.NS,Page Industries Limited,EQ,16-MAR-2007,10,1,INE761H01022,10
PAISALO.NS,Paisalo Digital Limited,EQ,17-OCT-2011,1,1,INE420C01059,1
PAKKA.NS,PAKKA LIMITED,EQ,11-JUL-2023,10,1,INE551D01018,10
PALASHSECU.NS,Palash Securities Limited,EQ,28-JUL-2017,10,1,INE471W01019,10
PALREDTEC.NS,Palred Technologies Limited,EQ,09-MAY-2016,10,1,INE218G01033,10
PANACEABIO.NS,Panacea Biotec Limited,EQ,17-APR-1996,1,1,INE922B01023,1
PANACHE.NS,Panache Digilife Limited,BE,06-JAN-2020,10,1,INE895W01019,10
PANAMAPET.NS,Panama Petrochem Limited,EQ,30-SEP-2011,2,1,INE305C01029,2
PANSARI.NS,Pansari Developers Limited,EQ,18-OCT-2021,10,1,INE697V01011,10
PAR.NS,Par Drugs And Chemicals Limited,EQ,16-SEP-2021,10,1,INE04LG01015,10
PARACABLES.NS,Paramount Communications Limited,EQ,03-JAN-2007,2,1,INE074B01023,2
PARADEEP.NS,Paradeep Phosphates Limited,EQ,27-MAY-2022,10,1,INE088F01024,10
PARAGMILK.NS,Parag Milk Foods Limited,EQ,19-MAY-2016,10,1,INE883N01014,10
PARAS.NS,Paras Defence and Space Technologies Limited,EQ,01-OCT-2021,10,1,INE045601015,10
PARASPETRO.NS,Paras Petrofils Limited,EQ,14-FEB-1996,1,1,INE162C01024,1
PARKHOTELS.NS,Apeejay Surrendra Park Hotels Limited,EQ,12-FEB-2024,1,1,INE988S01028,1
PARSVNATH.NS,Parsvnath Developers Limited,BE,30-NOV-2006,5,1,INE561H01026,5
PASUPTAC.NS,Pasupati Acrylon Limited,BE,12-OCT-2021,10,1,INE818B01023,10
PATANJALI.NS,Patanjali Foods Limited,EQ,24-JAN-2020,2,1,INE619A01035,2
PATELENG.NS,Patel Engineering Limited,EQ,24-FEB-2005,1,1,INE244B01030,1
PATINTLOG.NS,Patel Integrated Logistics Limited,EQ,11-JAN-2008,10,1,INE529D01014,10
PAVNAIND.NS,Pavna Industries Limited,BE,01-JUN-2023,10,1,INE07S101020,10
PAYTM.NS,One 97 Communications Limited,EQ,18-NOV-2021,1,1,INE982J01020,1
PCBL.NS,PCBL LIMITED,EQ,29-MAR-1995,1,1,INE602A01031,1
PCJEWELLER.NS,PC Jeweller Limited,EQ,27-DEC-2012,1,1,INE785M01021,1
PDMJEPAPER.NS,Pudumjee Paper Products Limited,EQ,30-MAR-2016,1,1,INE865T01018,1
PDSL.NS,PDS Limited,EQ,21-OCT-2014,2,1,INE111Q01021,2
PEARLPOLY.NS,Pearl Polymers Limited,EQ,11-OCT-1995,10,1,INE844A01013,10
PEL.NS,Piramal Enterprises Limited,EQ,08-FEB-1995,2,1,INE140A01024,2
PENIND.NS,Pennar Industries Limited,EQ,25-NOV-2010,5,1,INE932A01024,5
PENINLAND.NS,Peninsula Land Limited,EQ,08-FEB-1995,2,1,INE138A01028,2
PERSISTENT.NS,Persistent Systems Limited,EQ,06-APR-2010,5,1,INE262H01021,5
PETRONET.NS,Petronet LNG Limited,EQ,26-MAR-2004,10,1,INE347G01014,10
PFC.NS,Power Finance Corporation Limited,EQ,23-FEB-2007,10,1,INE134E01011,10
PFIZER.NS,Pfizer Limited,EQ,28-APR-1999,10,1,INE182A01018,10
PFOCUS.NS,Prime Focus Limited,EQ,20-JUN-2006,1,1,INE367G01038,1
PFS.NS,PTC India Financial Services Limited,EQ,30-MAR-2011,10,1,INE560K01014,10
PGEL.NS,PG Electroplast Limited,EQ,26-SEP-2011,1,1,INE457L01029,1
PGHH.NS,Procter & Gamble Hygiene and Health Care Limited,EQ,07-JUL-2004,10,1,INE179A01014,10
PGHL.NS,Procter & Gamble Health Limited,EQ,24-APR-1996,10,1,INE199A01012,10
PGIL.NS,Pearl Global Industries Limited,EQ,15-FEB-2007,5,1,INE940H01022,5
PHOENIXLTD.NS,The Phoenix Mills Limited,EQ,23-APR-2007,2,1,INE211B01039,2
PIDILITIND.NS,Pidilite Industries Limited,EQ,29-MAR-1995,1,1,INE318A01026,1
PIGL.NS,Power & Instrumentation (Gujarat) Limited,BE,17-MAY-2023,10,1,INE557Z01018,10
PIIND.NS,PI Industries Limited,EQ,15-JUN-2011,1,1,INE603J01030,1
PILANIINVS.NS,Pilani Investment and Industries Corporation Limited,EQ,08-DEC-2015,10,1,INE417C01014,10
PILITA.NS,PIL ITALICA LIFESTYLE LIMITED,EQ,07-OCT-2013,1,1,INE600A01035,1
PIONEEREMB.NS,Pioneer Embroideries Limited,BE,16-MAY-2006,10,1,INE156C01018,10
PITTIENG.NS,Pitti Engineering Limited,EQ,02-FEB-2007,5,1,INE450D01021,5
PIXTRANS.NS,Pix Transmissions Limited,EQ,28-APR-2022,10,1,INE751B01018,10
PKTEA.NS,The Peria Karamalai Tea & Produce Company Limited,BE,19-AUG-2015,10,1,INE431F01018,10
PLASTIBLEN.NS,Plastiblends India Limited,EQ,28-DEC-2006,5,1,INE083C01022,5
PLATIND.NS,Platinum Industries Limited,EQ,05-MAR-2024,10,1,INE0PT501018,10
PLAZACABLE.NS,Plaza Wires Limited,EQ,12-OCT-2023,10,1,INE0INJ01017,10
PNB.NS,Punjab National Bank,EQ,24-APR-2002,2,1,INE160A01022,2
PNBGILTS.NS,PNB Gilts Limited,EQ,18-SEP-2000,10,1,INE859A01011,10
PNBHOUSING.NS,PNB Housing Finance Limited,EQ,07-NOV-2016,10,1,INE572E01012,10
PNC.NS,Pritish Nandy Communications Limited,EQ,11-DEC-2000,10,1,INE392B01011,10
PNCINFRA.NS,PNC Infratech Limited,EQ,26-MAY-2015,2,1,INE195J01029,2
PNGJL.NS,P N Gadgil Jewellers Limited,EQ,17-SEP-2024,10,1,INE953R01016,10
POCL.NS,Pondy Oxides & Chemicals Limited,EQ,06-MAR-2023,5,1,INE063E01053,5
PODDARMENT.NS,Poddar Pigments Limited,EQ,22-NOV-2016,10,1,INE371C01013,10
POKARNA.NS,Pokarna Limited,EQ,07-JUL-2016,2,1,INE637C01025,2
