SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
SURANASOL.NS,Surana Solar Limited,BE,07-JAN-2011,5,1,INE272L01022,5
SURANAT&P.NS,Surana Telecom and Power Limited,EQ,22-MAY-2002,1,1,INE130B01031,1
SURYALAXMI.NS,Suryalakshmi Cotton Mills Limited,EQ,15-JUN-2005,10,1,INE713B01026,10
SURYAROSNI.NS,Surya Roshni Limited,EQ,10-MAY-1995,5,1,INE335A01020,5
SURYODAY.NS,Suryoday Small Finance Bank Limited,EQ,26-MAR-2021,10,1,INE428Q01011,10
SUTLEJTEX.NS,Sutlej Textiles and Industries Limited,EQ,14-DEC-2006,1,1,INE645H01027,1
SUULD.NS,Suumaya Industries Limited,BZ,19-OCT-2020,10,1,INE591Q01016,10
SUVEN.NS,Suven Life Sciences Limited,EQ,23-OCT-2003,1,1,INE495B01038,1
SUVENPHAR.NS,Suven Pharmaceuticals Limited,EQ,09-MAR-2020,1,1,INE03QK01018,1
SUVIDHAA.NS,Suvidhaa Infoserve Limited,EQ,31-MAR-2021,1,1,INE018401013,1
SUYOG.NS,Suyog Telematics Limited,EQ,20-AUG-2024,10,1,INE442P01014,10
SUZLON.NS,Suzlon Energy Limited,EQ,19-OCT-2005,2,1,INE040H01021,2
SVLL.NS,Shree Vasu Logistics Limited,BE,21-APR-2023,10,1,INE00CE01017,10
SVPGLOB.NS,SVP GLOBAL TEXTILES LIMITED,BE,14-JUL-2021,1,1,INE308E01029,1
SWANENERGY.NS,Swan Energy Limited,EQ,29-MAY-2012,1,1,INE665A01038,1
SWARAJENG.NS,Swaraj Engines Limited,EQ,06-DEC-1995,10,1,INE277A01016,10
SWELECTES.NS,Swelect Energy Systems Limited,EQ,09-MAY-2006,10,1,INE409B01013,10
SWIGGY.NS,Swiggy Limited,EQ,13-NOV-2024,1,1,INE00H001014,1
SWSOLAR.NS,Sterling and Wilson Renewable Energy Limited,EQ,20-AUG-2019,1,1,INE00M201021,1
SYMPHONY.NS,Symphony Limited,EQ,15-JUN-2011,2,1,INE225D01027,2
SYNCOMF.NS,Syncom Formulations (India) Limited,EQ,18-NOV-2022,1,1,INE312C01025,1
SYNGENE.NS,Syngene International Limited,EQ,11-AUG-2015,10,1,INE398R01022,10
SYRMA.NS,Syrma SGS Technology Limited,EQ,26-AUG-2022,10,1,INE0DYJ01015,10
TAINWALCHM.NS,Tainwala Chemical and Plastic (I) Limited,EQ,27-JUL-1995,10,1,INE123C01018,10
TAJGVK.NS,Taj GVK Hotels & Resorts Limited,EQ,20-DEC-2000,2,1,INE586B01026,2
TAKE.NS,Take Solutions Limited,EQ,27-AUG-2007,1,1,INE142I01023,1
TALBROAUTO.NS,Talbros Automotive Components Limited,EQ,29-SEP-2006,2,1,INE187D01029,2
TANLA.NS,Tanla Platforms Limited,EQ,05-JAN-2007,1,1,INE483C01032,1
TARACHAND.NS,Tara Chand InfraLogistic Solutions Limited,EQ,16-APR-2024,2,1,INE555Z01020,2
TARAPUR.NS,Tarapur Transformers Limited,BE,18-MAY-2010,10,1,INE747K01017,10
TARC.NS,TARC Limited,EQ,18-DEC-2020,2,1,INE0EK901012,2
TARIL.NS,Transformers And Rectifiers (India) Limited,BE,28-DEC-2007,1,1,INE763I01026,1
TARMAT.NS,Tarmat Limited,EQ,09-JUL-2007,10,1,INE924H01018,10
TARSONS.NS,Tarsons Products Limited,EQ,26-NOV-2021,2,1,INE144Z01023,2
TASTYBITE.NS,Tasty Bite Eatables Limited,EQ,23-MAR-2017,10,1,INE488B01017,10
TATACHEM.NS,Tata Chemicals Limited,EQ,01-APR-1999,10,1,INE092A01019,10
TATACOMM.NS,Tata Communications Limited,EQ,12-APR-1995,10,1,INE151A01013,10
TATACONSUM.NS,TATA CONSUMER PRODUCTS LIMITED,EQ,18-NOV-1998,1,1,INE192A01025,1
TATAELXSI.NS,Tata Elxsi Limited,EQ,17-SEP-2003,10,1,INE670A01012,10
TATAINVEST.NS,Tata Investment Corporation Limited,EQ,24-JUN-1998,10,1,INE672A01018,10
TATAMOTORS.NS,Tata Motors Limited,EQ,22-JUL-1998,2,1,INE155A01022,2
TATAPOWER.NS,Tata Power Company Limited,EQ,03-APR-1996,1,1,INE245A01021,1
TATASTEEL.NS,Tata Steel Limited,EQ,18-NOV-1998,1,1,INE081A01020,1
TATATECH.NS,Tata Technologies Limited,EQ,30-NOV-2023,2,1,INE142M01025,2
TATVA.NS,Tatva Chintan Pharma Chem Limited,EQ,29-JUL-2021,10,1,INE0GK401011,10
TBOTEK.NS,TBO Tek Limited,EQ,15-MAY-2024,1,1,INE673O01025,1
TBZ.NS,Tribhovandas Bhimji Zaveri Limited,EQ,09-MAY-2012,10,1,INE760L01018,10
TCI.NS,Transport Corporation of India Limited,EQ,21-JAN-2002,2,1,INE688A01022,2
TCIEXP.NS,TCI Express Limited,EQ,15-DEC-2016,2,1,INE586V01016,2
TCIFINANCE.NS,TCI Finance Limited,BE,21-MAY-1997,10,1,INE911B01018,10
TCLCONS.NS,Tantia Constructions Limited,EQ,16-OCT-2023,1,1,INE388G01026,1
TCPLPACK.NS,TCPL Packaging Limited,EQ,17-OCT-2017,10,1,INE822C01015,10
TCS.NS,Tata Consultancy Services Limited,EQ,25-AUG-2004,1,1,INE467B01029,1
TDPOWERSYS.NS,TD Power Systems Limited,EQ,08-SEP-2011,2,1,INE419M01027,2
TEAMLEASE.NS,Teamlease Services Limited,EQ,12-FEB-2016,10,1,INE985S01024,10
TECHM.NS,Tech Mahindra Limited,EQ,28-AUG-2006,5,1,INE669C01036,5
TECHNOE.NS,Techno Electric & Engineering Company Limited,EQ,04-DEC-2018,2,1,INE285K01026,2
TECILCHEM.NS,TECIL Chemicals and Hydro Power Limited,BE,06-DEC-1995,10,50,INE014B01011,10
TEGA.NS,Tega Industries Limited,EQ,13-DEC-2021,10,1,INE011K01018,10
TEJASNET.NS,Tejas Networks Limited,EQ,27-JUN-2017,10,1,INE010J01012,10
TEMBO.NS,Tembo Global Industries Limited,BE,23-APR-2021,10,1,INE869Y01010,10
TERASOFT.NS,Tera Software Limited,BE,29-DEC-2016,10,1,INE482B01010,10
TEXINFRA.NS,Texmaco Infrastructure & Holdings Limited,EQ,09-SEP-2004,1,1,INE435C01024,1
TEXMOPIPES.NS,Texmo Pipes and Products Limited,EQ,10-MAR-2010,10,1,INE141K01013,10
TEXRAIL.NS,Texmaco Rail & Engineering Limited,EQ,03-MAR-2011,1,1,INE621L01012,1
TFCILTD.NS,Tourism Finance Corporation of India Limited,EQ,26-JUL-2000,10,1,INE305A01015,10
TFL.NS,Transwarranty Finance Limited,BE,26-FEB-2007,10,1,INE804H01012,10
TGBHOTELS.NS,TGB Banquets And Hotels Limited,EQ,17-MAY-2007,10,1,INE797H01018,10
THANGAMAYL.NS,Thangamayil Jewellery Limited,EQ,19-FEB-2010,10,1,INE085J01014,10
THEINVEST.NS,The Investment Trust Of India Limited,EQ,02-AUG-2017,10,1,INE924D01017,10
THEJO.NS,Thejo Engineering Limited,EQ,10-OCT-2023,10,1,INE121N01019,10
THEMISMED.NS,Themis Medicare Limited,EQ,02-APR-2007,1,1,INE083B01024,1
THERMAX.NS,Thermax Limited,EQ,30-AUG-1995,2,1,INE152A01029,2
THOMASCOOK.NS,Thomas Cook  (India)  Limited,EQ,07-JUN-2000,1,1,INE332A01027,1
THOMASCOTT.NS,Thomas Scott (India) Limited,BE,30-JAN-2012,10,1,INE480M01011,10
THYROCARE.NS,Thyrocare Technologies Limited,EQ,09-MAY-2016,10,1,INE594H01019,10
TI.NS,Tilaknagar Industries Limited,EQ,16-JUL-2010,10,1,INE133E01013,10
TIIL.NS,Technocraft Industries (India) Limited,EQ,12-FEB-2007,10,1,INE545H01011,10
TIINDIA.NS,Tube Investments of India Limited,EQ,02-NOV-2017,1,1,INE974X01010,1
TIJARIA.NS,Tijaria Polypipes Limited,BE,14-OCT-2011,10,1,INE440L01017,10
TIL.NS,TIL Limited,BE,27-SEP-1995,10,1,INE806C01018,10
TIMESGTY.NS,Times Guaranty Limited,BE,11-JUN-2002,10,1,INE289C01025,10
TIMETECHNO.NS,Time Technoplast Limited,EQ,13-JUN-2007,1,1,INE508G01029,1
TIMKEN.NS,Timken India Limited,EQ,06-FEB-2007,10,1,INE325A01013,10
TIPSFILMS.NS,Tips Films Limited,BE,06-OCT-2022,10,1,INE0LQS01015,10
TIPSMUSIC.NS,Tips Music Limited,EQ,10-NOV-2000,1,1,INE716B01029,1
TIRUMALCHM.NS,Thirumalai Chemicals Limited,EQ,14-MAY-2003,1,1,INE338A01024,1
TIRUPATIFL.NS,Tirupati Forge Limited,BE,04-AUG-2020,2,1,INE319Y01024,2
TITAGARH.NS,TITAGARH RAIL SYSTEMS LIMITED,EQ,21-APR-2008,2,1,INE615H01020,2
TITAN.NS,Titan Company Limited,EQ,24-SEP-2004,1,1,INE280A01028,1
TMB.NS,Tamilnad Mercantile Bank Limited,EQ,15-SEP-2022,10,1,INE668A01016,10
TNPETRO.NS,Tamilnadu PetroProducts Limited,EQ,27-OCT-1999,10,1,INE148A01019,10
TNPL.NS,Tamil Nadu Newsprint & Papers Limited,EQ,14-FEB-1996,10,1,INE107A01015,10
TNTELE.NS,Tamilnadu Telecommunication Limited,BE,04-FEB-2003,10,1,INE141D01018,10
TOKYOPLAST.NS,Tokyo Plast International Limited,EQ,11-OCT-1995,10,1,INE932C01012,10
TOLINS.NS,Tolins Tyres Limited,EQ,16-SEP-2024,5,1,INE0RWQ01014,5
TORNTPHARM.NS,Torrent Pharmaceuticals Limited,EQ,25-NOV-2002,5,1,INE685A01028,5
TORNTPOWER.NS,Torrent Power Limited,EQ,28-NOV-2006,10,1,INE813H01021,10
TOTAL.NS,Total Transport Systems Limited,EQ,28-AUG-2020,10,1,INE336X01012,10
TOUCHWOOD.NS,Touchwood Entertainment Limited,EQ,21-JAN-2020,10,1,INE486Y01013,10
TPHQ.NS,Teamo Productions HQ Limited,BE,30-JAN-2009,1,1,INE065J01024,1
TPLPLASTEH.NS,TPL Plastech Limited,EQ,20-MAY-2015,2,1,INE413G01022,2
TRACXN.NS,Tracxn Technologies Limited,EQ,20-OCT-2022,1,1,INE0HMF01019,1
TRANSRAILL.NS,Transrail Lighting Limited,EQ,27-DEC-2024,2,1,INE454P01035,2
TRANSWORLD.NS,TRANSWORLD SHIPPING LINES LIMITED,EQ,01-MAR-1995,10,1,INE757B01015,10
TREEHOUSE.NS,Tree House Education & Accessories Limited,BE,26-AUG-2011,10,1,INE040M01013,10
TREJHARA.NS,TREJHARA SOLUTIONS LIMITED,EQ,28-DEC-2018,10,1,INE00CA01015,10
TREL.NS,Transindia Real Estate Limited,EQ,10-AUG-2023,2,1,INE0O3901029,2
TRENT.NS,Trent Limited,EQ,07-JUN-2004,1,1,INE849A01020,1
TRF.NS,TRF Limited,EQ,26-MAR-2010,10,1,INE391D01019,10
TRIDENT.NS,Trident Limited,EQ,21-FEB-2001,1,1,INE064C01022,1
TRIGYN.NS,Trigyn Technologies Limited,EQ,09-APR-1998,10,1,INE948A01012,10
TRITURBINE.NS,Triveni Turbine Limited,EQ,28-OCT-2011,1,1,INE152M01016,1
TRIVENI.NS,Triveni Engineering & Industries Limited,EQ,13-DEC-2005,1,1,INE256C01024,1
TRU.NS,TruCap Finance Limited,BE,20-JUN-2023,2,1,INE615R01029,2
TTKHLTCARE.NS,TTK Healthcare Limited,EQ,02-DEC-2015,10,1,INE910C01018,10
TTKPRESTIG.NS,TTK Prestige Limited,EQ,22-DEC-1999,1,1,INE690A01028,1
TTL.NS,T T Limited,BE,22-FEB-2007,10,1,INE592B01016,10
TTML.NS,Tata Teleservices (Maharashtra) Limited,EQ,20-OCT-2000,10,1,INE517B01013,10
TVSELECT.NS,TVS Electronics Limited,EQ,26-DEC-2003,10,1,INE236G01019,10
TVSHLTD.NS,TVS Holdings Limited,EQ,23-OCT-2012,5,1,INE105A01035,5
TVSMOTOR.NS,TVS Motor Company Limited,EQ,02-AUG-2000,1,1,INE494B01023,1
TVSSCS.NS,TVS Supply Chain Solutions Limited,EQ,23-AUG-2023,1,1,INE395N01027,1
TVSSRICHAK.NS,TVS Srichakra Limited,EQ,13-FEB-2007,10,1,INE421C01016,10
TVTODAY.NS,TV Today Network Limited,EQ,16-JAN-2004,5,1,INE038F01029,5
TVVISION.NS,TV Vision Limited,BE,15-SEP-2016,10,1,INE871L01013,10
UBL.NS,United Breweries Limited,EQ,28-JUL-2008,1,1,INE686F01025,1
UCAL.NS,UCAL LIMITED,BE,13-SEP-1995,10,1,INE139B01016,10
UCOBANK.NS,UCO Bank,EQ,09-OCT-2003,10,1,INE691A01018,10
UDAICEMENT.NS,Udaipur Cement Works Limited,EQ,23-APR-2024,4,1,INE225C01029,4
UDS.NS,Updater Services Limited,EQ,04-OCT-2023,10,1,INE851I01011,10
UFLEX.NS,UFLEX Limited,EQ,23-AUG-1995,10,1,INE516A01017,10
UFO.NS,UFO Moviez India Limited,EQ,14-MAY-2015,10,1,INE527H01019,10
UGARSUGAR.NS,The Ugar Sugar Works Limited,EQ,23-AUG-2010,1,1,INE071E01023,1
UGROCAP.NS,Ugro Capital Limited,EQ,11-AUG-2021,10,1,INE583D01011,10
UJJIVANSFB.NS,Ujjivan Small Finance Bank Limited,EQ,12-DEC-2019,10,1,INE551W01018,10
ULTRACEMCO.NS,UltraTech Cement Limited,EQ,24-AUG-2004,10,1,INE481G01011,10
UMAEXPORTS.NS,Uma Exports Limited,EQ,07-APR-2022,10,1,INE0GIU01018,10
UMANGDAIRY.NS,Umang Dairies Limited,BE,02-DEC-2015,5,1,INE864B01027,5
UMESLTD.NS,Usha Martin Education & Solutions Limited,EQ,12-JUL-2010,1,1,INE240C01028,1
UNICHEMLAB.NS,Unichem Laboratories Limited,EQ,07-FEB-2001,2,1,INE351A01035,2
UNIDT.NS,United Drilling Tools Limited,EQ,25-SEP-2020,10,1,INE961D01019,10
UNIECOM.NS,Unicommerce Esolutions Limited,EQ,13-AUG-2024,1,1,INE00U401027,1
UNIENTER.NS,Uniphos Enterprises Limited,EQ,23-JAN-2004,2,1,INE037A01022,2
UNIINFO.NS,Uniinfo Telecom Services Limited,EQ,12-JAN-2022,10,1,INE481Z01011,10
UNIMECH.NS,Unimech Aerospace and Manufacturing Limited,EQ,31-DEC-2024,5,1,INE0U3I01011,5
UNIONBANK.NS,Union Bank of India,EQ,24-SEP-2002,10,1,INE692A01016,10
UNIPARTS.NS,Uniparts India Limited,EQ,12-DEC-2022,10,1,INE244O01017,10
UNITDSPR.NS,United Spirits Limited,EQ,27-SEP-2001,2,1,INE854D01024,2
UNITECH.NS,Unitech Limited,BZ,08-SEP-1999,2,1,INE694A01020,2
UNITEDPOLY.NS,United Polyfab Gujarat Limited,BE,31-DEC-2021,10,1,INE368U01011,10
UNITEDTEA.NS,The United Nilgiri Tea Estates Company Limited,EQ,28-JAN-2015,10,1,INE458F01011,10
UNIVASTU.NS,Univastu India Limited,EQ,22-JUN-2020,10,1,INE562X01013,10
UNIVCABLES.NS,Universal Cables Limited,EQ,17-MAY-1995,10,1,INE279A01012,10
UNIVPHOTO.NS,Universus Photo Imagings Limited,BE,14-FEB-2020,10,1,INE03V001013,10
UNOMINDA.NS,UNO Minda Limited,EQ,02-FEB-2007,2,1,INE405E01023,2
UPL.NS,UPL Limited,EQ,23-JAN-2004,2,1,INE628A01036,2
URAVI.NS,Uravi T and Wedge Lamps Limited,EQ,05-JUL-2023,10,1,INE568Z01015,10
URJA.NS,Urja Global Limited,BE,28-MAR-2017,1,1,INE550C01020,1
USHAMART.NS,Usha Martin Limited,EQ,11-OCT-2000,1,1,INE228A01035,1
USK.NS,Udayshivakumar Infra Limited,EQ,03-APR-2023,10,1,INE0N0Y01013,10
UTIAMC.NS,UTI Asset Management Company Limited,EQ,12-OCT-2020,10,1,INE094J01016,10
UTKARSHBNK.NS,Utkarsh Small Finance Bank Limited,EQ,21-JUL-2023,10,1,INE735W01017,10
UTTAMSUGAR.NS,Uttam Sugar Mills Limited,EQ,10-APR-2006,10,1,INE786F01031,10
UYFINCORP.NS,U. Y. Fincorp Limited,EQ,03-OCT-2024,5,1,INE152C01025,5
V2RETAIL.NS,V2 Retail Limited,BE,04-JUL-2007,10,1,INE945H01013,10
VADILALIND.NS,Vadilal Industries Limited,EQ,15-JUN-2011,10,1,INE694D01016,10
VAIBHAVGBL.NS,Vaibhav Global Limited,EQ,05-APR-2004,2,1,INE884A01027,2
VAISHALI.NS,Vaishali Pharma Limited,BE,15-JAN-2020,2,1,INE972X01022,2
VAKRANGEE.NS,Vakrangee Limited,EQ,03-APR-2006,1,1,INE051B01021,1
VALIANTLAB.NS,Valiant Laboratories Limited,EQ,06-OCT-2023,10,1,INE0JWS01017,10
VALIANTORG.NS,Valiant Organics Limited,EQ,23-JUL-2021,10,1,INE565V01010,10
VARDHACRLC.NS,Vardhman Acrylics Limited,EQ,30-SEP-2003,10,1,INE116G01013,10
VARDMNPOLY.NS,Vardhman Polytex Limited,BE,12-MAY-2003,1,1,INE835A01029,1
VARROC.NS,Varroc Engineering Limited,EQ,06-JUL-2018,1,1,INE665L01035,1
VASCONEQ.NS,Vascon Engineers Limited,EQ,15-FEB-2010,10,1,INE893I01013,10
VASWANI.NS,Vaswani Industries Limited,BE,20-SEP-2011,10,1,INE590L01019,10
VBL.NS,Varun Beverages Limited,EQ,08-NOV-2016,2,1,INE200M01039,2
VCL.NS,Vaxtex Cotfab Limited,BE,19-APR-2022,1,1,INE098201036,1
VEDL.NS,Vedanta Limited,EQ,13-MAY-1998,1,1,INE205A01025,1
VEEDOL.NS,Veedol Corporation Limited,EQ,16-JAN-2007,2,1,INE484C01030,2
VENKEYS.NS,Venky's (India) Limited,EQ,28-JUL-2003,10,1,INE398A01010,10
VENTIVE.NS,Ventive Hospitality Limited,EQ,30-DEC-2024,1,1,INE781S01027,1
VENUSPIPES.NS,Venus Pipes & Tubes Limited,EQ,24-MAY-2022,10,1,INE0JA001018,10
VENUSREM.NS,Venus Remedies Limited,EQ,20-DEC-2006,10,1,INE411B01019,10
VERANDA.NS,Veranda Learning Solutions Limited,EQ,11-APR-2022,10,1,INE0IQ001011,10
VERTOZ.NS,Vertoz Limited,EQ,14-MAY-2020,1,1,INE188Y01023,1
VESUVIUS.NS,Vesuvius India Limited,EQ,04-OCT-2002,10,1,INE386A01015,10
VETO.NS,Veto Switchgears And Cables Limited,BE,29-APR-2015,10,1,INE918N01018,10
VGUARD.NS,V-Guard Industries Limited,EQ,13-MAR-2008,1,1,INE951I01027,1
VHL.NS,Vardhman Holdings Limited,EQ,30-JUN-2005,10,1,INE701A01023,10
VHLTD.NS,Viceroy Hotels Limited,BE,03-APR-2024,10,1,INE048C01025,10
VIDHIING.NS,Vidhi Specialty Food Ingredients Limited,EQ,02-MAR-2016,1,1,INE632C01026,1
VIJAYA.NS,Vijaya Diagnostic Centre Limited,EQ,14-SEP-2021,1,1,INE043W01024,1
VIJIFIN.NS,Viji Finance Limited,BE,11-JUL-2016,1,1,INE159N01027,1
VIKASECO.NS,Vikas EcoTech Limited,EQ,12-DEC-2011,1,1,INE806A01020,1
VIKASLIFE.NS,Vikas Lifecare Limited,EQ,08-MAY-2019,1,1,INE161L01027,1
VIMTALABS.NS,Vimta Labs Limited,EQ,15-DEC-2005,2,1,INE579C01029,2
VINATIORGA.NS,Vinati Organics Limited,EQ,28-JUL-2009,1,1,INE410B01037,1
VINCOFE.NS,Vintage Coffee And Beverages Limited,EQ,18-OCT-2024,10,1,INE498Q01014,10
VINDHYATEL.NS,Vindhya Telelinks Limited,EQ,08-FEB-1995,10,1,INE707A01012,10
VINEETLAB.NS,Vineet Laboratories Limited,EQ,15-JUN-2021,10,1,INE505Y01010,10
VINNY.NS,Vinny Overseas Limited,BE,28-NOV-2022,1,1,INE01KI01027,1
VINYLINDIA.NS,Vinyl Chemicals (India) Limited,EQ,21-JUL-2008,1,1,INE250B01029,1
VIPCLOTHNG.NS,VIP Clothing Limited,EQ,06-AUG-2007,2,1,INE450G01024,2
VIPIND.NS,VIP Industries Limited,EQ,02-MAR-2005,2,1,INE054A01027,2
VIPULLTD.NS,Vipul Limited,BE,23-APR-2015,1,1,INE946H01037,1
VIRINCHI.NS,Virinchi Limited,EQ,03-MAY-2023,10,1,INE539B01017,10
VISAKAIND.NS,Visaka Industries Limited,EQ,28-AUG-1996,2,1,INE392A01021,2
VISASTEEL.NS,Visa Steel Limited,BE,17-MAR-2006,10,1,INE286H01012,10
VISHNU.NS,Vishnu Chemicals Limited,EQ,05-MAR-2015,2,1,INE270I01022,2
VISHWARAJ.NS,Vishwaraj Sugar Industries Limited,EQ,15-OCT-2019,2,1,INE430N01022,2
VIVIDHA.NS,Visagar Polytex Limited,EQ,21-MAY-2013,1,1,INE370E01029,1
VLEGOV.NS,VL E-Governance & IT Solutions Limited,EQ,14-AUG-2023,10,1,INE03HW01020,10
VLSFINANCE.NS,VLS Finance Limited,EQ,25-MAY-1995,10,1,INE709A01018,10
VMART.NS,V-Mart Retail Limited,EQ,20-FEB-2013,10,1,INE665J01013,10
VMM.NS,Vishal Mega Mart Limited,EQ,18-DEC-2024,10,1,INE01EA01019,10
VOLTAMP.NS,Voltamp Transformers Limited,EQ,20-SEP-2006,10,1,INE540H01012,10
VOLTAS.NS,Voltas Limited,EQ,12-APR-1995,1,1,INE226A01021,1
VPRPL.NS,Vishnu Prakash R Punglia Limited,EQ,05-SEP-2023,10,1,INE0AE001013,10
VRAJ.NS,Vraj Iron and Steel Limited,EQ,03-JUL-2024,10,1,INE0S2V01010,10
VRLLOG.NS,VRL Logistics Limited,EQ,30-APR-2015,10,1,INE366I01010,10
VSSL.NS,Vardhman Special Steels Limited,EQ,17-MAY-2012,10,1,INE050M01012,10
VSTIND.NS,VST Industries Limited,EQ,05-SEP-2003,10,1,INE710A01016,10
VSTL.NS,Vibhor Steel Tubes Limited,EQ,20-FEB-2024,10,1,INE0QTF01015,10
VSTTILLERS.NS,V.S.T Tillers Tractors Limited,EQ,20-JUN-2011,10,1,INE764D01017,10
VTL.NS,Vardhman Textiles Limited,EQ,14-JAN-2003,2,1,INE825A01020,2
WAAREEENER.NS,Waaree Energies Limited,EQ,28-OCT-2024,10,1,INE377N01017,10
WABAG.NS,VA Tech Wabag Limited,EQ,13-OCT-2010,2,1,INE956G01038,2
WALCHANNAG.NS,Walchandnagar Industries Limited,EQ,18-SEP-1996,2,1,INE711A01022,2
WANBURY.NS,Wanbury Limited,EQ,29-JAN-2007,10,1,INE107F01022,10
WCIL.NS,Western Carriers (India) Limited,EQ,24-SEP-2024,5,1,INE0CJF01024,5
WEALTH.NS,Wealth First Portfolio Managers Limited,BE,20-JAN-2021,10,1,INE658T01017,10
WEBELSOLAR.NS,Websol Energy System Limited,BE,15-MAY-2007,10,1,INE855C01015,10
WEIZMANIND.NS,Weizmann Limited,EQ,10-MAY-1995,10,1,INE080A01014,10
WEL.NS,Wonder Electricals Limited,EQ,17-JAN-2022,1,1,INE02WG01024,1
WELCORP.NS,Welspun Corp Limited,EQ,24-MAY-2005,5,1,INE191B01025,5
WELENT.NS,Welspun Enterprises Limited,EQ,04-NOV-2004,10,1,INE625G01013,10
WELINV.NS,Welspun Investments and Commercials Limited,EQ,20-SEP-2010,10,1,INE389K01018,10
WELSPUNLIV.NS,Welspun Living Limited,EQ,04-DEC-2003,1,1,INE192B01031,1
WENDT.NS,Wendt (India) Limited,EQ,07-AUG-2006,10,1,INE274C01019,10
WESTLIFE.NS,WESTLIFE FOODWORLD LIMITED,EQ,05-JUN-2023,2,1,INE274F01020,2
WEWIN.NS,WE WIN LIMITED,EQ,15-JUN-2022,10,1,INE082W01014,10
WHEELS.NS,Wheels India Limited,EQ,07-APR-2000,10,1,INE715A01015,10
WHIRLPOOL.NS,Whirlpool of India Limited,EQ,06-APR-2010,10,1,INE716A01013,10
WILLAMAGOR.NS,Williamson Magor & Company Limited,EQ,08-FEB-1995,10,1,INE210A01017,10
WINDLAS.NS,Windlas Biotech Limited,EQ,16-AUG-2021,5,1,INE0H5O01029,5
WINDMACHIN.NS,Windsor Machines Limited,EQ,17-AUG-2011,2,1,INE052A01021,2
WINSOME.NS,Winsome Yarns Limited,BZ,25-AUG-2011,10,1,INE784B01035,10
WIPL.NS,The Western India Plywoods Limited,BE,17-APR-2017,10,1,INE215F01023,10
WIPRO.NS,Wipro Limited,EQ,08-NOV-1995,2,1,INE075A01022,2
WOCKPHARMA.NS,Wockhardt Limited,EQ,23-FEB-2000,5,1,INE049B01025,5
WONDERLA.NS,Wonderla Holidays Limited,EQ,09-MAY-2014,10,1,INE066O01014,10
WORTH.NS,Worth Peripherals Limited,EQ,04-AUG-2020,10,1,INE196Y01018,10
WSI.NS,W S Industries (I) Limited,EQ,01-AUG-2007,10,1,INE100D01014,10
WSTCSTPAPR.NS,West Coast Paper Mills Limited,EQ,17-JAN-2001,2,1,INE976A01021,2
XCHANGING.NS,Xchanging Solutions Limited,EQ,09-MAR-2005,10,1,INE692G01013,10
XELPMOC.NS,Xelpmoc Design And Tech Limited,EQ,04-FEB-2019,10,1,INE01P501012,10
XPROINDIA.NS,Xpro India Limited,EQ,27-APR-2004,10,1,INE445C01015,10
XTGLOBAL.NS,Xtglobal Infotech Limited,EQ,16-SEP-2024,1,1,INE547B01028,1
YASHO.NS,Yasho Industries Limited,EQ,21-AUG-2023,10,1,INE616Z01012,10
YATHARTH.NS,Yatharth Hospital & Trauma Care Services Limited,EQ,07-AUG-2023,10,1,INE0JO301016,10
YATRA.NS,Yatra Online Limited,EQ,28-SEP-2023,1,1,INE0JR601024,1
YESBANK.NS,Yes Bank Limited,EQ,12-JUL-2005,2,1,INE528G01035,2
YUKEN.NS,Yuken India Limited,EQ,02-SEP-2021,10,1,INE384C01016,10
ZAGGLE.NS,Zaggle Prepaid Ocean Services Limited,EQ,22-SEP-2023,1,1,INE07K301024,1
ZEEL.NS,Zee Entertainment Enterprises Limited,EQ,09-SEP-1998,1,1,INE256A01028,1
ZEELEARN.NS,Zee Learn Limited,EQ,20-DEC-2010,1,1,INE565L01011,1
ZEEMEDIA.NS,Zee Media Corporation Limited,EQ,10-JAN-2007,1,1,INE966H01019,1
ZENITHEXPO.NS,Zenith Exports Limited,EQ,10-JUL-1996,10,1,INE058B01018,10
ZENITHSTL.NS,Zenith Steel Pipes & Industries Limited,EQ,30-APR-2007,10,1,INE318D01020,10
ZENSARTECH.NS,Zensar Technologies Limited,EQ,09-JUL-2003,2,1,INE520A01027,2
ZENTEC.NS,Zen Technologies Limited,EQ,30-MAR-2015,1,1,INE251B01027,1
ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Limited,EQ,01-OCT-2008,5,1,INE342J01019,5
ZIMLAB.NS,Zim Laboratories Limited,EQ,25-NOV-2022,10,1,INE518E01015,10
ZODIAC.NS,Zodiac Energy Limited,EQ,14-DEC-2021,10,1,INE761Y01019,10
ZODIACLOTH.NS,Zodiac Clothing Company Limited,EQ,27-SEP-1995,10,1,INE206B01013,10
ZOMATO.NS,Zomato Limited,EQ,23-JUL-2021,1,1,INE758T01015,1
ZOTA.NS,Zota Health Care LImited,EQ,19-AUG-2019,10,1,INE358U01012,10
ZUARI.NS,Zuari Agro Chemicals Limited,EQ,27-NOV-2012,10,1,INE840M01016,10
ZUARIIND.NS,ZUARI INDUSTRIES LIMITED,EQ,12-APR-1995,10,1,INE217A01012,10
ZYDUSLIFE.NS,Zydus Lifesciences Limited,EQ,18-APR-2000,1,1,INE010B01027,1
ZYDUSWELL.NS,Zydus Wellness Limited,EQ,13-NOV-2009,10,1,INE768C01010,10
